place_id,userid,travel_date,point
54,1138,2022.1.2 0:02,4
54,4287,2021.1.5 0:12,5
54,10275,2021.1.9 0:11,4
54,6671,2021.1.16 0:03,5
54,9248,2020.1.22 0:10,5
54,7154,2020.1.21 0:07,5
54,1917,2020.1.16 0:07,5
54,9480,2019.1.11 0:11,4
54,8707,2019.1.13 0:10,5
54,11474,2019.1.11 0:10,4
54,4092,2019.1.18 0:07,5
54,4926,2019.1.26 0:06,4
54,8707,2019.1.9 0:06,5
54,3004,2019.1.12 0:05,4
54,543,2019.1.29 0:04,4
54,4036,2019.1.28 0:04,4
54,10130,2019.1.15 0:04,5
54,1335,2019.1.5 0:04,5
54,6038,2019.1.19 0:03,5
54,8995,2019.1.7 0:03,5
54,10954,2019.1.28 0:02,5
54,9286,2019.1.27 0:02,4
54,5136,2019.1.13 0:02,5
54,9723,2019.1.12 0:02,4
54,4717,2019.1.30 0:01,5
54,11100,2019.1.19 0:01,4
54,1079,2019.1.13 0:01,5
54,10341,2019.1.6 0:01,5
54,9681,2018.1.30 0:12,5
54,2093,2018.1.16 0:12,5
54,1731,2018.1.11 0:11,5
54,4027,2018.1.26 0:10,5
54,5842,2018.1.20 0:10,5
54,11362,2018.1.18 0:10,5
54,7154,2018.1.3 0:09,5
54,6072,2018.1.11 0:07,4
54,11225,2018.1.22 0:05,5
54,145,2018.1.20 0:05,5
54,2953,2018.1.31 0:03,5
54,110,2018.1.22 0:03,5
54,5974,2018.1.25 0:01,5
54,6102,2018.1.18 0:01,5
54,7266,2018.1.18 0:01,5
54,7654,2017.1.29 0:12,4
54,3090,2017.1.8 0:12,5
54,10798,2017.1.6 0:12,5
54,7314,2017.1.6 0:12,5
54,6568,2017.1.5 0:12,5
54,3592,2017.1.4 0:12,4
54,11429,2017.1.30 0:11,4
54,2715,2017.1.29 0:11,5
54,6254,2017.1.25 0:11,5
54,146,2017.1.23 0:11,5
54,6251,2017.1.21 0:11,4
54,3379,2017.1.19 0:11,3
54,9870,2017.1.16 0:11,3
54,10285,2017.1.15 0:11,5
54,2996,2017.1.15 0:11,4
54,9391,2017.1.13 0:11,4
54,241,2017.1.10 0:11,5
54,4273,2017.1.10 0:11,5
54,10172,2017.1.8 0:11,4
54,5446,2017.1.24 0:10,3
54,1475,2017.1.16 0:10,5
54,7381,2017.1.12 0:10,5
54,5369,2017.1.11 0:10,5
